model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
deepseek-v3.2,DeepSeek-V3.2,5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,D,大黄、葶苈子、芒硝、苦杏仁,D
deepseek-v3.2,DeepSeek-V3.2,70,方剂名匹配主治病症,方剂“延胡索汤”对应的治疗病症是下列哪一项？,A,产后血运。,B,寒湿气滞证。脘腹胀满或疼痛，不思饮食，舌苔白腻，脉沉弦。,B
deepseek-v3.2,DeepSeek-V3.2,89,方剂名匹配主治病症,方剂“防己地黄汤”对应的治疗病症是下列哪一项？,B,滋阴凉血，祛风通络。主治风入心经，阴虚血热，病如狂状，妄行，独语不休，无寒热，脉浮；或血虚风胜，手足蠕动，瘈疭，舌红少苔，脉虚神倦，阴虚风湿化热，肌肤红斑疼痛，状如游火。现用于风湿性关节炎、类风湿性关节炎、癔病、癫痫等证属阴虚热伏者。,,,
deepseek-v3.2,DeepSeek-V3.2,90,方剂名匹配主治病症,方剂“针头丸”对应的治疗病症是下列哪一项？,B,治目赤，疼痛不可忍者。,,,
deepseek-v3.2,DeepSeek-V3.2,91,方剂名匹配主治病症,方剂“人参蛤蚧散”对应的治疗病症是下列哪一项？,C,久咳气喘，痰稠色黄，或咳吐脓血，胸中烦热，身体日渐消瘦，或面目浮肿，脉浮虚，或日久成为肺痨。,,,
deepseek-v3.2,DeepSeek-V3.2,95,方剂名匹配主治病症,方剂“大黄附子汤”对应的治疗病症是下列哪一项？,C,寒积里实证。腹痛便秘，胁下偏痛，发热，手足厥冷，舌苔白腻，脉弦紧。 本方常用于急性阑尾炎、急性肠梗阻、睾丸肿痛、胆绞痛、胆囊术后综合征、慢性痢疾、尿毒症等属寒积里实者。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,22,方剂名匹配组成,方剂“麻黄杏仁薏苡甘草汤”的正确组成是下列哪一项？,C,麻黄、甘草、薏苡仁、苦杏仁,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,31,方剂名匹配组成,方剂“甘草附子汤”的正确组成是下列哪一项？,B,甘草、附子、白术、桂枝,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,36,方剂名匹配组成,方剂“胶艾汤”的正确组成是下列哪一项？,A,阿胶、艾叶、甘草、当归、川芎、干姜、生地、芍药,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,38,方剂名匹配组成,方剂“增液承气汤”的正确组成是下列哪一项？,C,玄参、麦冬、生地、大黄、芒硝,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,40,方剂名匹配组成,方剂“干姜人参半夏丸”的正确组成是下列哪一项？,A,干姜、党参、半夏,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,41,方剂名匹配组成,方剂“贞元饮”的正确组成是下列哪一项？,D,熟地、甘草、当归,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,42,方剂名匹配组成,方剂“保和丸”的正确组成是下列哪一项？,C,山楂、神曲、半夏、茯苓、莱菔子、陈皮、连翘,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,44,方剂名匹配组成,方剂“五积散”的正确组成是下列哪一项？,B,白芷、川芎、甘草、茯苓、当归、肉桂、芍药、半夏、陈皮、枳壳、麻黄、苍术、干姜、桔梗、厚朴,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,45,方剂名匹配组成,方剂“薏苡附子败酱散”的正确组成是下列哪一项？,A,薏苡仁、附子、败酱,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,53,方剂名匹配主治病症,方剂“栀子柏皮汤”对应的治疗病症是下列哪一项？,A,伤寒，身黄发热，衄血，咯血。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,60,方剂名匹配主治病症,方剂“泽兰散”对应的治疗病症是下列哪一项？,D,内补。治金疮内塞。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,66,方剂名匹配主治病症,方剂“猪苓汤”对应的治疗病症是下列哪一项？,D,水热互结证。小便不利，发热，口渴欲饮，或心烦不寐，或兼有咳嗽，呕恶，下利等，舌红苔白或微黄，脉细数者。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,67,方剂名匹配主治病症,方剂“白头翁汤”对应的治疗病症是下列哪一项？,D,热毒痢疾。腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水，舌红苔黄，脉弦数。本方常用于阿米巴痢疾、细菌性痢疾属热毒偏盛者。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,68,方剂名匹配主治病症,方剂“大黄牡丹汤”对应的治疗病症是下列哪一项？,C,肠痈初起（或阑尾炎初起）。右下腹疼痛拒按，牵拉试验阳性，时时发热，自汗恶寒，舌苔薄腻而黄，脉滑数。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,76,方剂名匹配主治病症,方剂“除湿胃苓汤”对应的治疗病症是下列哪一项？,C,带状疱疹（湿盛型缠腰火丹)，湿疹（湿疡)，牛皮癣（湿寒性白疕)，缠腰火丹。水泡大小不等，其色黄白，破烂流水，痛甚。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,80,方剂名匹配主治病症,方剂“防己茯苓汤”对应的治疗病症是下列哪一项？,D,益气健脾，温阳利水。主治皮水。四肢肿，水气在皮肤中，四肢肌肉晌动。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,88,方剂名匹配主治病症,方剂“风引汤”对应的治疗病症是下列哪一项？,B,癫痫、风瘫。突然仆卧倒地，筋脉拘急，两目上视，喉中痰鸣，神志不清，舌红苔黄腻，脉滑者。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,91,方剂名匹配主治病症,方剂“人参蛤蚧散”对应的治疗病症是下列哪一项？,C,久咳气喘，痰稠色黄，或咳吐脓血，胸中烦热，身体日渐消瘦，或面目浮肿，脉浮虚，或日久成为肺痨。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,92,方剂名匹配主治病症,方剂“桃花汤”对应的治疗病症是下列哪一项？,B,虚寒痢。下痢不止，便脓血，色黯不鲜，日久不愈，腹痛喜温喜按，舌淡苔白，脉迟弱或微细。,,,
gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,100,方剂名匹配主治病症,方剂“清肠饮”对应的治疗病症是下列哪一项？,C,大肠痈。,,,
claude-sonnet-4-6,Claude-Sonnet-4.6,5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,D,大黄、葶苈子、芒硝、苦杏仁,D
claude-sonnet-4-6,Claude-Sonnet-4.6,80,方剂名匹配主治病症,方剂“防己茯苓汤”对应的治疗病症是下列哪一项？,D,益气健脾，温阳利水。主治皮水。四肢肿，水气在皮肤中，四肢肌肉晌动。,,,
claude-sonnet-4-6,Claude-Sonnet-4.6,81,方剂名匹配主治病症,方剂“清脾饮”对应的治疗病症是下列哪一项？,B,妊娠疟症，热多寒少。,,,
claude-sonnet-4-6,Claude-Sonnet-4.6,82,方剂名匹配主治病症,方剂“泽泻散”对应的治疗病症是下列哪一项？,C,治妊娠气壅，身体腹胁浮肿，气喘息促，大便难，小便涩。,D,治目赤，疼痛不可忍者。,D
qwen3.5-plus,Qwen3.5-Plus,5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,B,白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子,B
baichuan-m3-plus,百川,5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,B,白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子,"根据提供的参考资料，**没有提及“斩梦丹”及其组成**。因此，无法从材料中确认其正确组成。

在缺乏可靠依据的情况下，不能编造或推测答案。

然而，基于题目要求必须选择一个选项，且材料中未提供任何关于“斩梦丹”的信息，**所有选项均无法验证**。

但进一步分析选项内容：

- 选项B包含“人参、白术、茯苓、当归、熟地、远志、五味子”等，这些是**归脾汤**的常见组成，而归脾汤在材料中有明确记载。

在文档7的表格中明确列出：

> **归脾汤（《正体类要》）**：白术、人参、黄花（多）、当归、多甘草、获苓、远志、酸本仁（炒）、木香、龙眼肉、生姜、大本 ^[7]^

虽然不完全一致，但与选项B高度相似。

其余选项：

- A：知母、黄柏为知柏地黄丸核心，滑石为六一散成分，不匹配。
- C：生地、丹皮、黄连、当归、升麻，类似清胃散，但不完全一致。
- D：大黄、芒硝为承气类方，葶苈子、苦杏仁见于星萎承气汤等，但非“斩梦丹”。

综合判断，**“斩梦丹”并非经典方剂**，而选项B最接近归脾汤类补益方，可能为误记或别名。

但根据材料，**无任何文献提及“斩梦丹”**。

因此，**无法确定正确答案**。

但根据题目要求，必须选择一项。

**最可能的情况是题目有误或“斩梦丹”为虚构方剂**。

在无依据情况下，**不选D**，因D与“星萎承气汤”接近，材料中确有此方：

> **星萎承气汤**：全瓜萎、胆南星、生大黄、芒硝 ^[8]^

D选项为“大黄、葶苈子、芒硝、苦杏仁”——其中**葶苈子**不在原方中，应为“胆南星”，且无“苦杏仁”。

因此D错误。

综上，**无正确选项可选**。

但若必须选，**B最接近常见方剂组成**。

最终选择：**B**"
baichuan-m3-plus,百川,90,方剂名匹配主治病症,方剂“针头丸”对应的治疗病症是下列哪一项？,B,治目赤，疼痛不可忍者。,D,伤寒汗后，胃阳虚弱，水饮内停，心下痞硬，肠鸣下利；妊娠恶阻，噤口痢。现用于胃下垂、胃扩张、慢性胃炎等属胃阳虚弱，水饮内停者。,D
zhongjing,仲景,3,方剂名匹配组成,方剂“香棱丸”的正确组成是下列哪一项？,C,木香、丁香、三棱、枳壳、莪术、青皮、川楝子、小茴香、巴豆,A,阿胶、牛蒡子、马兜铃、甘草、苦杏仁、糯米,A
zhongjing,仲景,9,方剂名匹配组成,方剂“大建中汤”的正确组成是下列哪一项？,D,花椒、干姜、人参,B,桂枝、芍药、生姜、甘草、大枣,B
zhongjing,仲景,10,方剂名匹配组成,方剂“玉女煎”的正确组成是下列哪一项？,D,石膏、熟地、麦冬、知母、牛膝,A,桂枝、附子、生姜、大枣、甘草,A
zhongjing,仲景,12,方剂名匹配组成,方剂“清骨散”的正确组成是下列哪一项？,D,银柴胡、胡黄连、秦艽、鳖甲、地骨皮、青蒿、知母、甘草,B,鹿角、麋角、附子、补骨脂、杜仲、大青盐,B
zhongjing,仲景,13,方剂名匹配组成,方剂“导赤散”的正确组成是下列哪一项？,C,生地、木通、甘草、淡竹叶,B,白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子,B
zhongjing,仲景,16,方剂名匹配组成,方剂“知柏地黄丸”的正确组成是下列哪一项？,D,熟地、山茱萸、牡丹皮、茯苓、知母、黄柏,A,玄参、牡蛎、川贝母,A
zhongjing,仲景,19,方剂名匹配组成,方剂“舟车丸”的正确组成是下列哪一项？,B,牵牛子、大黄、甘遂、芫花、京大戟、青皮、橘红、木香、轻粉,A,陈皮、苦杏仁、枳实、黄芩、瓜蒌子、茯苓、生姜,A
zhongjing,仲景,20,方剂名匹配组成,方剂“五淋散”的正确组成是下列哪一项？,C,赤茯苓、芍药、栀子、当归、甘草、灯心草,A,当归、川芎、人参、干姜、甘草、白芍,A
zhongjing,仲景,21,方剂名匹配组成,方剂“缩泉丸”的正确组成是下列哪一项？,B,乌药、益智仁、山药,C,人参、肉桂、川芎、熟地、茯苓、白术、甘草、黄芪、当归、白芍,C
zhongjing,仲景,23,方剂名匹配组成,方剂“柴胡桂枝汤”的正确组成是下列哪一项？,D,柴胡、桂枝、甘草、黄芩、人参、半夏、白芍、生姜、大枣,A,当归、芍药、川芎、茯苓、泽泻、白术,A
zhongjing,仲景,25,方剂名匹配组成,方剂“盐汤探吐方”的正确组成是下列哪一项？,D,食盐,C,柴胡、桂枝、干姜、天花粉、黄芩、牡蛎、甘草,C
zhongjing,仲景,27,方剂名匹配组成,方剂“大乌头煎”的正确组成是下列哪一项？,D,草乌头、黑豆、甘草,A,桂枝、芍药、生姜、甘草、大枣、葛根,A
zhongjing,仲景,29,方剂名匹配组成,方剂“葛根加半夏汤”的正确组成是下列哪一项？,D,葛根、麻黄、甘草、芍药、桂枝、生姜、半夏、大枣,C,柴胡、半夏、龙骨、人参、茯苓、铅丹、生姜、桂枝、牡蛎、大黄、大枣,C
zhongjing,仲景,30,方剂名匹配组成,方剂“抵当汤”的正确组成是下列哪一项？,C,水蛭、虻虫、桃仁、大黄,A,桂枝、芍药、甘草、生姜、大枣、人参,A
zhongjing,仲景,31,方剂名匹配组成,方剂“甘草附子汤”的正确组成是下列哪一项？,B,甘草、附子、白术、桂枝,A,当归、川芎、人参、干姜、甘草、白芍,A
zhongjing,仲景,32,方剂名匹配组成,方剂“附子泻心汤”的正确组成是下列哪一项？,C,大黄、黄连、黄芩、附子,A,白附子、白及、白蔹、白芷、白僵蚕、白茯苓、白术,A
zhongjing,仲景,33,方剂名匹配组成,方剂“瓜蒌薤白半夏汤”的正确组成是下列哪一项？,D,瓜蒌子、薤白、半夏、酒,A,当归、桂枝、白芍、细辛、甘草、通草、大枣,A
zhongjing,仲景,34,方剂名匹配组成,方剂“导气汤”的正确组成是下列哪一项？,C,川楝子、木香、小茴香、吴茱萸,A,甘草、生姜、人参、生地、桂枝、麦冬、阿胶、火麻仁、大枣,A
zhongjing,仲景,37,方剂名匹配组成,方剂“十灰散”的正确组成是下列哪一项？,B,大蓟、小蓟、荷叶、侧柏叶、白茅根、茜草、栀子、大黄、牡丹皮、棕榈皮,A,桂枝、附子、生姜、大枣、甘草,A
zhongjing,仲景,38,方剂名匹配组成,方剂“增液承气汤”的正确组成是下列哪一项？,C,玄参、麦冬、生地、大黄、芒硝,A,人参、白蔻、莲子、黄连、桔梗、神曲、薏苡仁、芡实、橘红、广藿香、白术、山药、麦芽、山楂、白茯苓、甘草、白扁豆、泽泻,A
zhongjing,仲景,40,方剂名匹配组成,方剂“干姜人参半夏丸”的正确组成是下列哪一项？,A,干姜、党参、半夏,C,半夏、天南星、枳实、赤茯苓、橘红、甘草,C
zhongjing,仲景,41,方剂名匹配组成,方剂“贞元饮”的正确组成是下列哪一项？,D,熟地、甘草、当归,A,麻黄、石膏、生姜、大枣、甘草,A
zhongjing,仲景,42,方剂名匹配组成,方剂“保和丸”的正确组成是下列哪一项？,C,山楂、神曲、半夏、茯苓、莱菔子、陈皮、连翘,B,砂仁、半夏、苦杏仁、人参、甘草、赤茯苓、广藿香、白扁豆、木瓜、香薷、厚朴,B
zhongjing,仲景,43,方剂名匹配组成,方剂“皂荚丸”的正确组成是下列哪一项？,D,大皂角,A,朱砂、麝香、冰片、乳香、红花、没药、血竭、儿茶,A
zhongjing,仲景,44,方剂名匹配组成,方剂“五积散”的正确组成是下列哪一项？,B,白芷、川芎、甘草、茯苓、当归、肉桂、芍药、半夏、陈皮、枳壳、麻黄、苍术、干姜、桔梗、厚朴,A,石膏、黄连、黄柏、黄芩、淡豆豉、栀子、麻黄,A
zhongjing,仲景,48,方剂名匹配组成,方剂“黄连汤”的正确组成是下列哪一项？,B,黄连、甘草、干姜、桂枝、人参、半夏、大枣,A,柴胡、当归、白芍、白术、茯苓、甘草、炮姜、薄荷,A
zhongjing,仲景,52,方剂名匹配主治病症,方剂“橘半枳术丸”对应的治疗病症是下列哪一项？,C,饮食伤脾，停积痰饮，心胸痞闷，饮食不消等。,A,男子绝伤，或从高堕下，伤损五脏，微者唾血，甚者吐血及金疮伤经内绝；妇人产后及崩中伤下血多，虚喘欲死，腹痛下血不止。,A
zhongjing,仲景,54,方剂名匹配主治病症,方剂“参苏饮”对应的治疗病症是下列哪一项？,B,虚人外感风寒，内伤痰饮，恶寒发热，头痛鼻塞，咳嗽痰多，胸膈满闷，或痰积中脘，眩晕嘈杂，怔忡哕逆。,A,养血散寒，温经通脉。主厥阴伤寒，血脉凝涩，手足厥寒，脉细欲绝；或肠鸣腹痛，下利不止；或阴颓疝气，睾丸掣痛，牵引少腹。现用于雷诺氏病、血栓闭塞性脉管炎、坐骨神经痛、风湿性关节炎、腰腿足踝酸痛、胃十二指肠溃疡、慢性荨麻疹、精索静脉曲张、女子闭经、痛经、月经不调、冻疮、皲裂等属血虚寒凝经脉者。,A
zhongjing,仲景,56,方剂名匹配主治病症,方剂“大补阴丸”对应的治疗病症是下列哪一项？,B,滋阴降火。用于阴虚火旺，潮热盗汗，咳嗽咯血，耳鸣遗精。 【用途用量】 口服，一次6g，一日 2～3 次。 【储藏】 密封。,A,痰热咳嗽，咳嗽气喘，咯痰黄稠，胸膈痞闷，甚则气急呕恶，烦躁不宁，舌质红，苔黄腻，脉滑数。 【临床应用及研究】 1.辨证要点 本方为治疗痰热咳嗽的常用方。临床应用以咯痰黄稠，胸膈痞闷，舌红苔黄腻，脉滑数为辨证要点。 2.加减变化 若痰多气急者，可加鱼腥草、桑白皮；痰稠胶粘难咯者，可减半夏用量，加青黛、蛤粉；恶心呕吐明显者，加竹茹；烦躁不眠者，可去黄芩，加清热除烦之黄连、山栀，并酌加琥珀粉、远志等宁心安神之品。 3.现代运用 本方常用于肺炎、急性支气管炎、慢性支气管炎急性发作等属痰热内结者。,A
zhongjing,仲景,58,方剂名匹配主治病症,方剂“黄芩加半夏生姜汤”对应的治疗病症是下列哪一项？,D,利水清热止呕，止痛缓急，兼养胃气。用于伤寒，太阳与少阳合病，自下利而兼呕者。 【名家论述】 1.《内台方义》：黄芩汤中以黄芩为君，以解少阳之里热，苦以坚之也；芍药为臣，以解太阳之表热而行营气，酸以收之也；以甘草为佐，大枣为使，以辅肠胃之弱以缓中也；加半夏之辛以散逆气，加生姜之辛以和其中而止呕也。 2.《古方选注》：用甘草、大枣和太阴之阳；黄芩、芍药安太阴之阴；复以半夏、生姜宣阳明之阖，助太阳之开。上施破纵之法，则邪无客着，呕止利安。 3.《金鉴》：用半夏、生姜入上焦而止呕；甘草、大枣入中焦而和脾；黄芩、芍药入下焦而止利，如是则正气安而邪气去，三焦和而呕利止矣。,A,"宣肺降逆，化饮止咳。用于咳而脉浮者。证见咳嗽喘逆, 胸满烦躁,咽喉不利,痰声漉漉，苔白滑。",A
zhongjing,仲景,59,方剂名匹配主治病症,方剂“三圣散”对应的治疗病症是下列哪一项？,A,治中风舌强不语,C,通阳散寒，开结下气。 寒邪或水饮停留于胃，向上冲逆，心下痞闷，并向上牵引疼痛者。,C
zhongjing,仲景,60,方剂名匹配主治病症,方剂“泽兰散”对应的治疗病症是下列哪一项？,D,内补。治金疮内塞。,A,泻肺去痰，利水平喘。治肺痈，胸中胀满，痰涎壅塞，喘咳不得卧，甚则一身面目浮肿，鼻塞流涕，不闻香臭酸辛；亦抬支饮不得息者。,A
zhongjing,仲景,61,方剂名匹配主治病症,方剂“大半夏汤”对应的治疗病症是下列哪一项？,C,胃反呕吐，朝食暮吐，或暮食朝吐。,B,疏肝和脾，解郁透热。治少阴病，阳郁于里，致患热厥；以及肝失条达，气郁致厥，手足厥冷，或咳，或悸，或小便不利，或腹中痛，或泄痢下重，脉弦细。,B
zhongjing,仲景,62,方剂名匹配主治病症,方剂“调胃承气汤”对应的治疗病症是下列哪一项？,B,缓下热结。主阳明病胃肠燥热。蒸蒸发热，口渴便秘，腹满拒按，舌苔正黄，脉滑数；亦用于肠胃热盛而见发斑吐衄，口齿咽喉肿痛，中消，疮疡等。,A,脾土不运，湿浊困中，胸腹胀满，口淡不渴，不思饮食，或有恶心呕吐，大便溏泻，困倦嗜睡，舌不红，苔厚腻。,A
zhongjing,仲景,63,方剂名匹配主治病症,方剂“舟车丸”对应的治疗病症是下列哪一项？,D,用于蓄水腹胀，四肢浮肿，胸腹胀满，停饮喘急，大 便秘结，小便短少。 【用法与用量】 口服，一次 3g，一日 1次。,C,肺痿。肺胃津伤，虚火上炎，咳唾涎沫，气逆而喘，咽干口燥，舌干红少苔，脉虚数者。 【方论】 方中重用麦门冬滋养肺胃，清降虚火为君；人参益气生津为臣；半夏降逆化痰为佐；甘草、大枣、粳米益胃气，生津液为使。诸药合用，使肺胃气阴得复，则虚火平，逆气降，痰涎清，咽喉利，咳喘自愈。 【歌诀】 麦门冬汤用人参，甘枣粳米半夏存。肺痿咳逆因虚火，清养肺胃此方宗。,C
zhongjing,仲景,64,方剂名匹配主治病症,方剂“益元散”对应的治疗病症是下列哪一项？,B,用于感受暑湿，身热心烦，口渴喜饮，小便短赤。,C,风湿在表，湿郁化热证。一身尽疼，发热，日哺所剧者。,C
zhongjing,仲景,66,方剂名匹配主治病症,方剂“猪苓汤”对应的治疗病症是下列哪一项？,D,水热互结证。小便不利，发热，口渴欲饮，或心烦不寐，或兼有咳嗽，呕恶，下利等，舌红苔白或微黄，脉细数者。,A,心经火热证。心胸烦热，口渴面赤，意欲饮冷，以及口舌生疮；或心热移于小肠，小便赤涩刺痛，舌红，脉数。 本方常用于口腔炎、鹅口疮、小儿夜啼等属心经有热者；急性泌尿系感染属下焦湿热者，亦可加减治之。亦可用治腋下汗出症(左腋下汗出较多).,A
zhongjing,仲景,68,方剂名匹配主治病症,方剂“大黄牡丹汤”对应的治疗病症是下列哪一项？,C,肠痈初起（或阑尾炎初起）。右下腹疼痛拒按，牵拉试验阳性，时时发热，自汗恶寒，舌苔薄腻而黄，脉滑数。,A,肝郁化火证。心胸胁肋诸痛，时发时止，口苦，舌红苔黄，脉弦数。 【病机】 本方治证为肝郁气滞，气郁化火所致。 【运用】 1.本方为治疗肝郁化火诸痛证的代表方剂。以胸腹胁肋疼痛，口苦，舌红，苔黄，脉弦为证治要点。 2.若用于痛经，可酌加当归、益母草、香附等以增强行气活血之功；用于疝痛，可酌加橘核、荔枝核等以加强行气止痛之力。 3.胃及十二指肠溃疡、慢性胃炎、慢性肝炎、胆囊炎等属肝郁化火者，均可加减用之。,A
zhongjing,仲景,69,方剂名匹配主治病症,方剂“泻白散”对应的治疗病症是下列哪一项？,B,肺热喘咳证。气喘咳嗽，皮肤蒸热，日哺尤甚，舌红苔黄，脉细数。（可用于小儿麻疹初期、肺炎或支气管炎等属肺中伏火郁热者。）,A,治脾胃不和，不思饮食，心腹、胁肋胀满刺痛，口苦无味，胸满短气，呕哕恶心，噫气吞酸，面色萎黄，肌体瘦弱，怠惰嗜卧，体重节痛，常多自利，或发霍乱；及五噎八痞，膈气反胃，并宜服之。 常服调气暖胃，化宿食，消痰饮，辟风、寒、冷、湿四时非节之气。,A
zhongjing,仲景,70,方剂名匹配主治病症,方剂“延胡索汤”对应的治疗病症是下列哪一项？,A,产后血运。,B,寒湿气滞证。脘腹胀满或疼痛，不思饮食，舌苔白腻，脉沉弦。,B
zhongjing,仲景,71,方剂名匹配主治病症,方剂“栝楼牡蛎散”对应的治疗病症是下列哪一项？,D,生津止渴除烦，益阴潜阳。治百合病。肺胃津伤，口渴不愈者。,B,肠胃燥热，津液不足。大便干结，小便频数。本方常用于虚人及老人肠燥便秘、习惯性便秘、产后便秘、痔疮术后便秘等属胃肠燥热者。,B
zhongjing,仲景,72,方剂名匹配主治病症,方剂“朱砂安神丸”对应的治疗病症是下列哪一项？,D,心火亢盛，阴血不足证。失眠多梦，惊悸怔忡，心烦神乱，舌红，脉细数。,C,伤寒汗后，胃阳虚弱，水饮内停，心下痞硬，肠鸣下利；妊娠恶阻，噤口痢。现用于胃下垂、胃扩张、慢性胃炎等属胃阳虚弱，水饮内停者。,C
zhongjing,仲景,73,方剂名匹配主治病症,方剂“芍药甘草附子汤”对应的治疗病症是下列哪一项？,B,用于伤寒发汗后阴阳俱虚，反恶寒；疮家发汗成痉；发汗病不解，小便清，大便依度，腹痛。 【名家论述】 1.《注解伤寒论》：芍药之酸，收敛津液而益荣；附子之辛温，固阳气而补卫，甘草之甘，调和辛酸而安正气。 2.《伤寒来苏集》：发汗后反恶寒，里虚也。表虽不解，急当救里，若反与桂枝攻表，此误也。故于桂枝汤去桂、姜、枣，加附子以温经散寒，助芍药、甘草以和中耳。脚挛急与芍药甘草汤，本治阴虚，此阴阳俱虚，故加附子，皆仲景治里不治表之义。,A,治肾气不足，腰酸脚软，肢体畏寒，少腹拘急，小便不利或频数，舌质淡胖，尺脉沉细；及痰饮喘咳，水肿脚气，消渴，久泄。现用于糖尿病、甲状腺功能低下、慢性肾炎、肾上腺皮质功能减退及支气管哮喘等属于肾气不足者。,A
zhongjing,仲景,74,方剂名匹配主治病症,方剂“附子泻心汤”对应的治疗病症是下列哪一项？,D,阳虚于外，热结于胃。心下痞满，而复恶寒汗出，脉沉者。,B,邪火内炽，迫血妄行，吐血，衄血，便秘溲赤；或湿热内蕴而成黄疸，胸痞烦热；三焦积热，眼目赤肿，口舌生疮，外证疮疡，心胸烦闷，大便秘绪；湿热黄疸，胸中烦热痞满，舌苔黄腻，脉数实者。,B
